no_pkk_inaportnet,no_pkk,vessel_name,gt,loa,company_name,name_process_code,name_branch,departure_date,nomor_pkk,nomor_spb
PKK.LN.IDSRG.2503.000217,MT6609000006,MT. TRISTEN,5598.0,113.09,KALANDARA INDAH LAUTINDO PT,Realization,TANJUNG EMAS,2025-03-22T22:00:00.000Z,PKK.LN.IDSRG.2503.000217,SPB.IDSRG.0325.0000238
PKK.DN.IDSMQ.2503.000320,CM5583000003,CURUG MAS,4990.0,107.8,"TEMAS SHIPPING, PT",Realization,SAMPIT,2025-03-24T16:00:00.000Z,PKK.DN.IDSMQ.2503.000320,SPB.IDSMQ.0325.0000355
PKK.DN.IDBDJ.2503.002488,SKW325000033,SOEKAWATI 303,3060.0,91.5,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,BANJARMASIN,2025-03-21T04:00:00.000Z,PKK.DN.IDBDJ.2503.002488,SPB.IDBDJ.0325.0002796
PKK.DN.IDBDJ.2503.002482,MH1N25000076,RMN 3316,4338.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-20T15:00:00.000Z,PKK.DN.IDBDJ.2503.002482,SPB.IDBDJ.0325.0002506
PKK.DN.IDBDJ.2503.002481,DIR225000026,DIRGAHAYU 3102,3657.0,94.5,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-03-20T15:30:00.000Z,PKK.DN.IDBDJ.2503.002481,SPB.IDBDJ.0325.0002885
PKK.DN.IDBDJ.2503.002477,L85D25000068,PULAU TIGA 33023,4336.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002477,SPB.IDBDJ.0325.0002840
PKK.DN.IDBDJ.2503.002474,NP4Z25000002,DY 3308,4332.0,100.58,"NABILA RIZKI SAMUDERA, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002474,SPB.IDBDJ.0325.0002691
PKK.DN.IDSRG.2503.000214,MK9909000019,MERATUS KAMPAR,6626.0,119.9,"MERATUS LINE, PT",Realization,TANJUNG EMAS,2025-03-22T10:00:00.000Z,PKK.DN.IDSRG.2503.000214,SPB.IDSRG.0325.0000257
PKK.DN.IDSMQ.2503.000310,GL0083000022,GEGER LINTANG,2432.0,90.6,PT PERTAMINA TRANS KONTINENTAL,Realization,SAMPIT,2025-03-22T02:00:00.000Z,PKK.DN.IDSMQ.2503.000310,SPB.IDSMQ.0325.0000357
PKK.DN.IDSRG.2503.000212,MM7709000031,MERATUS MANADO,9440.0,144.83,"MERATUS LINE, PT",Realization,TANJUNG EMAS,2025-03-21T20:00:00.000Z,PKK.DN.IDSRG.2503.000212,SPB.IDSRG.0325.0000253
PKK.DN.IDBDJ.2503.002465,ID8025000035,INTAN DAYA 88,2992.0,89.8,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",Realization,BANJARMASIN,2025-03-21T23:00:00.000Z,PKK.DN.IDBDJ.2503.002465,SPB.IDBDJ.0325.0002676
PKK.DN.IDKOE.2503.000128,S19829000060,SABUK NUSANTARA 108,1259.0,62.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TENAU KUPANG,2025-03-22T12:30:00.000Z,PKK.DN.IDKOE.2503.000128,SPB.IDKOE.0325.0000140
PKK.DN.IDSUB.2503.000771,H8LF13000003,HARSANADI,7098.0,124.0,"AISDA SHIPPING SERVICE, PT",Request PPKB,TANJUNG PERAK,2025-03-21T01:00:00.000Z,PKK.DN.IDSUB.2503.000771,SPB.IDSUB.0325.0000769
PKK.DN.IDBDJ.2503.002439,XP8G25000094,MBP 1515,7251.0,120.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002439,SPB.IDBDJ.0325.0002816
PKK.DN.IDSUB.2503.000770,ID2013000021,INTAN DAYA 2,1998.0,85.95,"PELAYARAN CARAKA TIRTA PERKASA, PT",Realization,TANJUNG PERAK,2025-03-22T09:00:00.000Z,PKK.DN.IDSUB.2503.000770,SPB.IDSUB.0325.0000871
PKK.DN.IDBDJ.2503.002440,CN6025000022,CAMARA NUSANTARA 6,1592.0,69.78,PT Salam Satu Jangkar,Realization,BANJARMASIN,2025-03-22T13:12:00.000Z,PKK.DN.IDBDJ.2503.002440,SPB.IDBDJ.0325.0002716
PKK.DN.IDBDJ.2503.002420,E7YN25000072,TAMA 2742,2820.0,82.3,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-22T15:55:00.000Z,PKK.DN.IDBDJ.2503.002420,SPB.IDBDJ.0325.0002808
PKK.DN.IDBDJ.2503.002418,FAWR25000008,MARCO,1838.0,70.1,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002418,SPB.IDBDJ.0325.0002854
PKK.DN.IDBDJ.2503.002411,DP3625000073,DUTA PERKASA 3006,3508.0,91.44,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-22T15:55:00.000Z,PKK.DN.IDBDJ.2503.002411,SPB.IDBDJ.0325.0002461
PKK.DN.IDBDJ.2503.002407,PTG325000013,PRIMA TIGA,3142.0,91.44,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-22T15:55:00.000Z,PKK.DN.IDBDJ.2503.002407,SPB.IDBDJ.0325.0002810
PKK.DN.IDBDJ.2503.002413,9Y3925000037,RAYYAN SALUMBUNG 300 1,3138.0,91.44,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-03-20T15:00:00.000Z,PKK.DN.IDBDJ.2503.002413,SPB.IDBDJ.0325.0002482
PKK.DN.IDSUB.2503.000765,IFI813000060,ICON FILIPI IV 89,5458.0,116.0,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",Realization,TANJUNG PERAK,2025-03-22T16:00:00.000Z,PKK.DN.IDSUB.2503.000765,SPB.IDSUB.0325.0000876
PKK.DN.IDBDJ.2503.002396,AD0325000030,ANAND 3,3111.0,91.5,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-20T15:00:00.000Z,PKK.DN.IDBDJ.2503.002396,SPB.IDBDJ.0325.0002787
PKK.DN.IDBDJ.2503.002400,5RHJ25000001,CAKRAWALA XXX 2024,3510.0,91.44,SARANA MARITIM SEJAHTERA PT,Realization,BANJARMASIN,2025-03-19T22:00:00.000Z,PKK.DN.IDBDJ.2503.002400,SPB.IDBDJ.0325.0002545
PKK.DN.IDSUB.2503.000764,SW0013000018,SUNRISE WARRIOR,7341.0,127.68,"PERTAMINA TRANS KONTINENTAL, PT",Realization,TANJUNG PERAK,2025-03-21T16:00:00.000Z,PKK.DN.IDSUB.2503.000764,SPB.IDSUB.0325.0000866
PKK.LN.IDSRG.2503.000209,SKYW09000007,MV.SKY WIND,17853.0,172.07,"GLOBAL PUTRA INDONESIA MARITIME, PT",Realization,TANJUNG EMAS,2025-03-21T14:00:00.000Z,PKK.LN.IDSRG.2503.000209,SPB.IDSRG.0325.0000246
PKK.DN.IDSUB.2503.000763,TL9113000072,Tanto Luas,6616.0,119.9,"TANTO INTIM LINE, PT",Realization,TANJUNG PERAK,2025-03-25T04:00:00.000Z,PKK.DN.IDSUB.2503.000763,SPB.IDSUB.0325.0000889
PKK.LN.IDGRE.2503.000530,6P8L13000001,LPG/C. CHAMPION ROAD,4224.0,99.98,"SAHA MITRA SAMUDERA, PT",Realization,TANJUNG PERAK,2025-03-24T09:00:00.000Z,PKK.LN.IDGRE.2503.000530,SPB.IDGRE.0325.0000649
PKK.DN.IDGRE.2503.000527,222C13000054,CONCORD,5367.0,112.0,PT SEROJA JAYA AGENSI,Realization,TANJUNG PERAK,2025-03-26T16:00:00.000Z,PKK.DN.IDGRE.2503.000527,SPB.IDGRE.0325.0000650
PKK.DN.IDKBU.2503.000416,BM5357000008,BUNGA MELATI 51,3654.0,108.0,PT. ALWIESTA NIAGA MANDIRI,Realization,KOTABARU,2025-03-18T15:00:00.000Z,PKK.DN.IDKBU.2503.000416,SPB.IDKBU.0325.0000498
PKK.DN.IDCXP.2503.000061,SG2226000013,SAINTY GIANT,5846.0,106.02,"PELAYARAN BAHTERA ADHIGUNA, PT",Realization,TANJUNG INTAN,2025-03-23T15:00:00.000Z,PKK.DN.IDCXP.2503.000061,SPB.IDCXP.0325.0000079
PKK.DN.IDBDJ.2503.002371,H30725000036,HASNUR 306,3089.0,87.78,PT Jaga Agensi Kapal Indonesia,Realization,BANJARMASIN,2025-03-20T23:00:00.000Z,PKK.DN.IDBDJ.2503.002371,SPB.IDBDJ.0325.0002670
PKK.DN.IDSUB.2503.000754,LG0013000056,LUMOSO GEMBIRA,3668.0,106.68,"TANTO INTIM LINE, PT",Realization,TANJUNG PERAK,2025-03-31T01:00:00.000Z,PKK.DN.IDSUB.2503.000754,SPB.IDSUB.0325.0000891
PKK.DN.IDBDJ.2503.002358,KD2Y25000001,DUTA PERKASA 3316,4878.0,100.58,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-21T15:55:00.000Z,PKK.DN.IDBDJ.2503.002358,SPB.IDBDJ.0325.0002635
