nomor_pkk,nomor_spb
PKK.DN.IDBDJ.2503.002282,SPB.IDBDJ.0325.0002412
PKK.DN.IDBDJ.2503.002281,SPB.IDBDJ.0325.0002411
PKK.DN.IDBDJ.2503.001347,SPB.IDBDJ.0325.0002410
PKK.DN.IDBDJ.2503.001346,SPB.IDBDJ.0325.0002409
PKK.DN.IDSUB.2503.000476,SPB.IDSUB.0325.0000742
PKK.DN.IDSRG.2503.000208,SPB.IDSRG.0325.0000220
PKK.DN.IDGRE.2503.000037,SPB.IDGRE.0325.0000576
PKK.DN.IDGRE.2503.000446,SPB.IDGRE.0325.0000578
PKK.DN.IDGRE.2503.000036,SPB.IDGRE.0325.0000577
PKK.DN.IDGRE.2503.000551,SPB.IDGRE.0325.0000575
PKK.DN.IDSRG.2503.000167,SPB.IDSRG.0325.0000219
PKK.DN.IDSUB.2503.000619,SPB.IDSUB.0325.0000740
PKK.DN.IDCXP.2503.000044,SPB.IDCXP.0325.0000070
PKK.DN.IDSUB.2503.000758,SPB.IDSUB.0325.0000739
PKK.DN.IDSTU.2503.000400,SPB.IDSTU.0325.0000482
PKK.DN.IDSTU.2503.000399,SPB.IDSTU.0325.0000481
PKK.DN.IDKBU.2503.000415,SPB.IDKBU.0325.0000510
PKK.DN.IDCXP.2503.000043,SPB.IDCXP.0325.0000069
PKK.DN.IDKUM.2503.000126,SPB.IDKUM.0325.0000142
PKK.DN.IDBDJ.2503.001769,SPB.IDBDJ.0325.0002402
PKK.DN.IDBDJ.2503.002197,SPB.IDBDJ.0325.0002400
PKK.DN.IDBDJ.2503.001991,SPB.IDBDJ.0325.0002399
PKK.DN.IDBDJ.2503.001990,SPB.IDBDJ.0325.0002398
PKK.DN.IDKBU.2503.000381,SPB.IDKBU.0325.0000509
PKK.DN.IDKBU.2503.000382,SPB.IDKBU.0325.0000508
PKK.DN.IDKUM.2503.000075,SPB.IDKUM.0325.0000141
PKK.DN.IDKUM.2503.000074,SPB.IDKUM.0325.0000140
PKK.DN.IDBDJ.2503.002273,SPB.IDBDJ.0325.0002397
PKK.DN.IDKBU.2503.000471,SPB.IDKBU.0325.0000507
PKK.DN.IDLBR.2503.000120,SPB.IDLBR.0325.0000127
PKK.DN.IDSRG.2503.000174,SPB.IDSRG.0325.0000217
PKK.DN.IDBDJ.2503.002198,SPB.IDBDJ.0325.0002401
PKK.DN.IDBDJ.2503.002329,SPB.IDBDJ.0325.0002396
PKK.DN.IDSMQ.2503.000121,SPB.IDSMQ.0325.0000305
PKK.DN.IDSMQ.2503.000274,SPB.IDSMQ.0325.0000304
PKK.DN.IDBDJ.2503.002085,SPB.IDBDJ.0325.0002394
PKK.DN.IDBDJ.2503.002222,SPB.IDBDJ.0325.0002393
PKK.DN.IDGRE.2503.000143,SPB.IDGRE.0325.0000574
PKK.DN.IDKOE.2503.000112,SPB.IDKOE.0325.0000123
PKK.DN.IDBJU.2503.000082,SPB.IDBJU.0325.0000091
PKK.DN.IDKOE.2503.000122,SPB.IDKOE.0325.0000122
PKK.DN.IDBDJ.2503.000176,SPB.IDBDJ.0325.0002391
PKK.DN.IDSUB.2503.000653,SPB.IDSUB.0325.0000736
PKK.DN.IDSUB.2503.000747,SPB.IDSUB.0325.0000735
PKK.DN.IDSUB.2503.000731,SPB.IDSUB.0325.0000738
PKK.DN.IDLBR.2503.000123,SPB.IDLBR.0325.0000126
PKK.DN.IDGRE.2503.000461,SPB.IDGRE.0325.0000573
PKK.LN.IDSUB.2503.000706,SPB.IDSUB.0325.0000734
PKK.DN.IDSUB.2503.000542,SPB.IDSUB.0325.0000733
PKK.DN.IDSUB.2503.000268,SPB.IDSUB.0325.0000732
PKK.DN.IDSUB.2503.000428,SPB.IDSUB.0325.0000730
PKK.DN.IDSUB.2503.000650,SPB.IDSUB.0325.0000729
PKK.DN.IDSUB.2503.000741,SPB.IDSUB.0325.0000727
PKK.DN.IDSRG.2503.000182,SPB.IDSRG.0325.0000215
PKK.DN.IDSUB.2503.000452,SPB.IDSUB.0325.0000724
PKK.DN.IDSUB.2503.000451,SPB.IDSUB.0325.0000723
PKK.DN.IDLBR.2503.000121,SPB.IDLBR.0325.0000125
PKK.LN.IDSUB.2503.000697,SPB.IDSUB.0325.0000722
PKK.DN.IDGRE.2412.000766,SPB.IDGRE.0325.0000571
PKK.DN.IDGRE.2412.000767,SPB.IDGRE.0325.0000570
PKK.DN.IDBOA.2503.001555,SPB.IDBOA.0325.0001845
PKK.DN.IDSUB.2503.000267,SPB.IDSUB.0325.0000731
PKK.DN.IDSUB.2503.000666,SPB.IDSUB.0325.0000728
PKK.DN.IDSUB.2503.000740,SPB.IDSUB.0325.0000726
PKK.DN.IDSUB.2503.000732,SPB.IDSUB.0325.0000725
PKK.DN.IDSRG.2503.000203,SPB.IDSRG.0325.0000216
PKK.DN.IDGRE.2503.000002,SPB.IDGRE.0325.0000572
PKK.DN.IDSTU.2503.000259,SPB.IDSTU.0325.0000477
PKK.DN.IDSTU.2503.000313,SPB.IDSTU.0325.0000476
PKK.DN.IDBOA.2503.001677,SPB.IDBOA.0325.0001829
PKK.LN.IDSMQ.2502.000296,SPB.IDSMQ.0325.0000303
PKK.DN.IDLBR.2503.000113,SPB.IDLBR.0325.0000124
PKK.DN.IDKBU.2503.000339,SPB.IDKBU.0325.0000504
PKK.DN.IDGRE.2503.000180,SPB.IDGRE.0325.0000569
PKK.DN.IDGRE.2503.000053,SPB.IDGRE.0325.0000568
PKK.DN.IDGRE.2503.000200,SPB.IDGRE.0325.0000566
PKK.DN.IDGRE.2503.000052,SPB.IDGRE.0325.0000565
PKK.DN.IDSUB.2503.000683,SPB.IDSUB.0325.0000720
PKK.DN.IDSUB.2503.000682,SPB.IDSUB.0325.0000719
PKK.DN.IDGRE.2503.000199,SPB.IDGRE.0325.0000567
PKK.DN.IDSUB.2503.000651,SPB.IDSUB.0325.0000721
PKK.DN.IDSTU.2503.000321,SPB.IDSTU.0325.0000469
PKK.DN.IDSMQ.2503.000070,SPB.IDSMQ.0325.0000302
PKK.DN.IDSTU.2503.000322,SPB.IDSTU.0325.0000470
PKK.DN.IDSUB.2503.000416,SPB.IDSUB.0325.0000718
PKK.DN.IDBDJ.2503.001869,SPB.IDBDJ.0325.0002389
PKK.DN.IDKOE.2503.000113,SPB.IDKOE.0325.0000121
